runtime,application,algorithm,bw_level,ipath_0,ipath_1,task_count,power_cap,thread_count,year
54.4034,CoMD,pak,1,2,0,4096,64,24,2017
46.5075,CoMD,pak,1,2,0,4096,80,24,2017
42.4216,CoMD,pak,1,2,0,4096,115,24,2017
41.7099,CoMD,pak,1,2,0,2048,64,16,2017
47.5113,CoMD,pak,1,2,0,2048,64,20,2017
53.0328,CoMD,pak,1,2,0,2048,64,24,2017
38.9581,CoMD,pak,1,2,0,2048,80,16,2017
42.638,CoMD,pak,1,2,0,2048,80,20,2017
44.8226,CoMD,pak,1,2,0,2048,80,24,2017
37.19,CoMD,pak,1,2,0,2048,115,16,2017
40.7372,CoMD,pak,1,2,0,2048,115,20,2017
42.544,CoMD,pak,1,2,0,2048,115,24,2017
39.2341,CoMD,pak,1,2,0,1024,64,16,2017
44.3378,CoMD,pak,1,2,0,1024,64,20,2017
49.6902,CoMD,pak,1,2,0,1024,64,24,2017
36.1795,CoMD,pak,1,2,0,1024,80,16,2017
39.0518,CoMD,pak,1,2,0,1024,80,20,2017
43.3831,CoMD,pak,1,2,0,1024,80,24,2017
36.7162,CoMD,pak,1,2,0,1024,115,16,2017
39.2091,CoMD,pak,1,2,0,1024,115,20,2017
40.5269,CoMD,pak,1,2,0,1024,115,24,2017
35.8287,CoMD,pak,1,2,0,512,64,16,2017
43.5869,CoMD,pak,1,2,0,512,64,20,2017
47.3946,CoMD,pak,1,2,0,512,64,24,2017
34.0391,CoMD,pak,1,2,0,512,80,16,2017
38.3182,CoMD,pak,1,2,0,512,80,20,2017
40.7837,CoMD,pak,1,2,0,512,80,24,2017
34.8292,CoMD,pak,1,2,0,512,115,16,2017
39.8226,CoMD,pak,1,2,0,512,115,20,2017
39.261,CoMD,pak,1,2,0,512,115,24,2017
52.7167,CoMD,pak,2,1,0,4096,64,24,2017
45.4208,CoMD,pak,2,1,0,4096,80,24,2017
42.0062,CoMD,pak,2,1,0,4096,115,24,2017
40.9394,CoMD,pak,2,1,0,2048,64,16,2017
46.438,CoMD,pak,2,1,0,2048,64,20,2017
52.0963,CoMD,pak,2,1,0,2048,64,24,2017
37.7471,CoMD,pak,2,1,0,2048,80,16,2017
41.232,CoMD,pak,2,1,0,2048,80,20,2017
45.3754,CoMD,pak,2,1,0,2048,80,24,2017
38.0957,CoMD,pak,2,1,0,2048,115,16,2017
41.2628,CoMD,pak,2,1,0,2048,115,20,2017
41.1025,CoMD,pak,2,1,0,2048,115,24,2017
38.9423,CoMD,pak,2,1,0,1024,64,16,2017
43.6901,CoMD,pak,2,1,0,1024,64,20,2017
50.3129,CoMD,pak,2,1,0,1024,64,24,2017
37.6545,CoMD,pak,2,1,0,1024,80,16,2017
38.9458,CoMD,pak,2,1,0,1024,80,20,2017
42.3984,CoMD,pak,2,1,0,1024,80,24,2017
37.1682,CoMD,pak,2,1,0,1024,115,16,2017
38.7537,CoMD,pak,2,1,0,1024,115,20,2017
39.8196,CoMD,pak,2,1,0,1024,115,24,2017
37.8492,CoMD,pak,2,1,0,512,64,16,2017
42.8861,CoMD,pak,2,1,0,512,64,20,2017
48.1787,CoMD,pak,2,1,0,512,64,24,2017
34.6894,CoMD,pak,2,1,0,512,80,16,2017
39.2629,CoMD,pak,2,1,0,512,80,20,2017
40.9296,CoMD,pak,2,1,0,512,80,24,2017
35.4795,CoMD,pak,2,1,0,512,115,16,2017
39.8446,CoMD,pak,2,1,0,512,115,20,2017
39.7869,CoMD,pak,2,1,0,512,115,24,2017
51.5611,CoMD,pak,3,0,0,4096,64,24,2017
43.9699,CoMD,pak,3,0,0,4096,80,24,2017
41.1639,CoMD,pak,3,0,0,4096,115,24,2017
41.1958,CoMD,pak,3,0,0,2048,64,16,2017
47.4087,CoMD,pak,3,0,0,2048,64,20,2017
51.6919,CoMD,pak,3,0,0,2048,64,24,2017
39.9433,CoMD,pak,3,0,0,2048,80,16,2017
40.5848,CoMD,pak,3,0,0,2048,80,20,2017
43.2538,CoMD,pak,3,0,0,2048,80,24,2017
38.8678,CoMD,pak,3,0,0,2048,115,16,2017
40.1823,CoMD,pak,3,0,0,2048,115,20,2017
40.8737,CoMD,pak,3,0,0,2048,115,24,2017
41.0643,CoMD,pak,3,0,0,1024,64,16,2017
43.221,CoMD,pak,3,0,0,1024,64,20,2017
49.0081,CoMD,pak,3,0,0,1024,64,24,2017
36.7382,CoMD,pak,3,0,0,1024,80,16,2017
38.2962,CoMD,pak,3,0,0,1024,80,20,2017
41.8551,CoMD,pak,3,0,0,1024,80,24,2017
37.5257,CoMD,pak,3,0,0,1024,115,16,2017
38.4766,CoMD,pak,3,0,0,1024,115,20,2017
38.9416,CoMD,pak,3,0,0,1024,115,24,2017
36.935,CoMD,pak,3,0,0,512,64,16,2017
43.1533,CoMD,pak,3,0,0,512,64,20,2017
47.6891,CoMD,pak,3,0,0,512,64,24,2017
33.8352,CoMD,pak,3,0,0,512,80,16,2017
38.2978,CoMD,pak,3,0,0,512,80,20,2017
41.2325,CoMD,pak,3,0,0,512,80,24,2017
35.8808,CoMD,pak,3,0,0,512,115,16,2017
38.1473,CoMD,pak,3,0,0,512,115,20,2017
39.1388,CoMD,pak,3,0,0,512,115,24,2017
52.0969,CoMD,pak,4,0,1,4096,64,24,2017
44.1151,CoMD,pak,4,0,1,4096,80,24,2017
41.1271,CoMD,pak,4,0,1,4096,115,24,2017
40.7279,CoMD,pak,4,0,1,2048,64,16,2017
47.0473,CoMD,pak,4,0,1,2048,64,20,2017
51.1507,CoMD,pak,4,0,1,2048,64,24,2017
38.4931,CoMD,pak,4,0,1,2048,80,16,2017
39.8476,CoMD,pak,4,0,1,2048,80,20,2017
43.3305,CoMD,pak,4,0,1,2048,80,24,2017
39.8723,CoMD,pak,4,0,1,2048,115,16,2017
39.5353,CoMD,pak,4,0,1,2048,115,20,2017
39.7504,CoMD,pak,4,0,1,2048,115,24,2017
40.3092,CoMD,pak,4,0,1,1024,64,16,2017
42.8289,CoMD,pak,4,0,1,1024,64,20,2017
49.084,CoMD,pak,4,0,1,1024,64,24,2017
36.198,CoMD,pak,4,0,1,1024,80,16,2017
37.9236,CoMD,pak,4,0,1,1024,80,20,2017
40.8574,CoMD,pak,4,0,1,1024,80,24,2017
34.3682,CoMD,pak,4,0,1,1024,115,16,2017
38.4633,CoMD,pak,4,0,1,1024,115,20,2017
38.4868,CoMD,pak,4,0,1,1024,115,24,2017
36.8455,CoMD,pak,4,0,1,512,64,16,2017
42.6364,CoMD,pak,4,0,1,512,64,20,2017
47.3286,CoMD,pak,4,0,1,512,64,24,2017
33.9109,CoMD,pak,4,0,1,512,80,16,2017
38.2212,CoMD,pak,4,0,1,512,80,20,2017
41.2599,CoMD,pak,4,0,1,512,80,24,2017
35.0184,CoMD,pak,4,0,1,512,115,16,2017
37.3701,CoMD,pak,4,0,1,512,115,20,2017
38.4736,CoMD,pak,4,0,1,512,115,24,2017
51.7525,CoMD,pak,5,0,2,4096,64,24,2017
44.3072,CoMD,pak,5,0,2,4096,80,24,2017
40.4947,CoMD,pak,5,0,2,4096,115,24,2017
41.7516,CoMD,pak,5,0,2,2048,64,16,2017
46.8363,CoMD,pak,5,0,2,2048,64,20,2017
50.3127,CoMD,pak,5,0,2,2048,64,24,2017
38.3937,CoMD,pak,5,0,2,2048,80,16,2017
40.5907,CoMD,pak,5,0,2,2048,80,20,2017
